host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
0%,N/A,49.26328,-123.07086,3,3,30,7,$100.00,80,6
100%,0%,49.27608,-123.12452,1,0,30,2,$175.00,98,142
N/A,82%,49.28244,-123.12293,1,1,180,2,$168.00,95,71
100%,N/A,49.27634,-123.11825,2,1,30,2,$237.00,97,44
100%,0%,49.27799,-123.07101,1,1,30,1,$48.00,94,57
100%,100%,49.2332,-123.0551,1,1,1,1,$80.00,94,209
90%,94%,49.28211,-123.10453,2,2,3,4,$206.00,97,74
100%,64%,49.28379,-123.10525,1,1,3,2,$137.00,95,51
100%,96%,49.28063,-123.12502,1,1,30,2,$148.00,98,257
100%,N/A,49.22834,-123.03047,1,1,30,2,$85.00,93,44
100%,N/A,49.23034,-123.02971,1,1,30,2,$85.00,87,35
95%,50%,49.28241,-123.10381,1,1,1,3,$347.00,97,137
72%,32%,49.28052,-123.12691,2,2,1,4,$344.00,80,1
100%,100%,49.28062,-123.11815,1,3,31,4,$124.00,98,157
NA,NA,49.25099,-123.07457,4,5,5,8,$500.00,94,29
99%,85%,49.27741,-123.12292,1,1,30,4,$299.00,100,3
90%,8%,49.25555,-123.11523,2,2,2,4,$90.00,93,31
100%,56%,49.25759,-123.06393,3,3,1,6,$425.00,97,33
100%,60%,49.27917,-123.06246,1,1,30,2,$80.00,98,187
100%,91%,49.27999,-123.1075,3,2,2,6,$550.00,99,41
N/A,100%,49.26775,-123.06862,1,1,30,2,$82.00,97,57
100%,100%,49.29178,-123.14175,2,3,30,4,$130.00,95,59
NA,NA,49.2506,-123.07175,1,1,30,1,$77.00,95,22
N/A,N/A,49.24413,-123.11955,1,1,31,2,$93.00,87,27
100%,50%,49.27945,-123.10875,1,1,3,2,$97.00,96,157
100%,78%,49.28104,-123.13621,1,1,30,2,$135.00,95,76
50%,67%,49.284,-123.11571000000001,1,1,30,3,$141.00,85,4
N/A,100%,49.26069,-123.18303,1,2,31,2,$150.00,98,11
100%,100%,49.25996,-123.16653,2,2,2,4,$125.00,97,78
100%,55%,49.24438,-123.04453,1,1,5,2,$51.00,95,179
99%,85%,49.2794,-123.12181,NA,1,30,2,$199.00,100,4
99%,85%,49.27918,-123.12187,2,3,30,6,$350.00,91,7
100%,92%,49.26186,-123.17438,1,1,30,2,$66.00,96,48
100%,92%,49.26355,-123.17326,1,1,14,2,$47.00,98,62
100%,92%,49.26213,-123.17482,2,3,30,3,$114.00,100,3
N/A,N/A,49.28087,-123.13525,1,1,30,1,$30.00,NA,0
100%,50%,49.27719,-123.13011,NA,1,90,2,$120.00,93,57
100%,50%,49.25804,-123.12119,1,1,30,2,$75.00,91,22
100%,100%,49.28618,-123.05403,1,1,31,2,$84.00,93,63
N/A,100%,49.27317,-123.11961,1,3,30,4,$125.00,100,3
100%,100%,49.25785,-123.12199,1,1,6,2,$79.00,90,51
N/A,100%,49.27073,-123.16325,2,3,7,5,$275.00,95,32
100%,0%,49.24803,-123.18517,1,1,3,2,$130.00,99,193
62%,73%,49.27213,-123.0698,1,1,3,3,$100.00,90,148
100%,N/A,49.27805,-123.11794,1,1,90,2,$130.00,90,4
100%,N/A,49.27744,-123.11524,NA,2,30,4,$499.00,84,10
N/A,N/A,49.23569,-123.10987,2,2,1,4,$219.00,87,7
85%,78%,49.26648,-123.15939,1,1,4,2,$55.00,100,5
93%,36%,49.27489,-123.12654,NA,1,30,2,$70.00,94,7
93%,36%,49.28006,-123.12673,NA,NA,30,2,$61.00,100,1
93%,36%,49.28837,-123.12766,2,2,30,4,$88.00,92,12
N/A,N/A,49.27804,-123.12531,2,2,180,4,$280.00,80,2
N/A,N/A,49.27828,-123.12671,1,1,180,2,$180.00,100,1
100%,97%,49.25674,-123.0874,1,1,2,2,$70.00,96,271
100%,77%,49.27747,-123.12098,NA,2,30,2,$60.00,97,98
100%,77%,49.27703,-123.12692,NA,1,30,2,$60.00,95,136
100%,100%,49.27241,-123.06332,1,1,2,2,$95.00,96,56
100%,N/A,49.27613,-123.12389,1,1,360,2,$75.00,NA,0
100%,89%,49.28028,-123.10737,3,4,29,8,$278.00,94,285
93%,36%,49.29258,-123.13446,1,1,30,2,$55.00,89,11
67%,75%,49.26008,-123.15989,4,7,5,8,$560.00,97,36
90%,40%,49.28239,-123.13021,1,1,30,2,$50.00,91,58
0%,N/A,49.28119,-123.12033,1,3,30,3,$99.00,NA,1
N/A,0%,49.27925,-123.08814,2,2,3,4,$105.00,95,261
N/A,N/A,49.23006,-123.07151,1,1,180,2,$55.00,97,91
100%,100%,49.2726,-123.06988,1,1,30,2,$50.00,94,73
100%,100%,49.26957,-123.04828,1,1,2,2,$72.00,98,37
100%,100%,49.26731,-123.06909,2,2,3,4,$149.00,97,193
N/A,33%,49.27843,-123.12901,NA,1,90,2,$130.00,97,101
100%,N/A,49.28361,-123.11536,1,1,30,4,$287.00,100,3
90%,40%,49.27871,-123.11681,1,1,180,2,$80.00,96,49
100%,88%,49.28478,-123.1192,1,2,2,4,$120.00,97,432
N/A,N/A,49.26889,-123.18543,3,4,30,6,$184.00,98,38
93%,36%,49.28279,-123.1222,1,NA,181,2,$88.00,86,2
93%,36%,49.27859,-123.11993,1,1,90,2,$80.00,97,7
N/A,100%,49.27627,-123.10013,1,0,1,2,$95.00,94,55
90%,40%,49.282470000000004,-123.13068,1,1,30,2,$50.00,89,64
88%,96%,49.284,-123.11432,1,1,30,2,$97.00,95,111
NA,NA,49.25808,-123.07538,1,2,4,4,$125.00,96,14
100%,86%,49.27932,-123.12911,1,1,3,2,$106.00,98,104
100%,100%,49.26026,-123.20135,1,2,1,3,$94.00,95,69
100%,100%,49.23968,-123.16762,1,2,31,3,$104.00,98,86
100%,100%,49.26964,-123.11064,2,4,30,6,$450.00,98,8
100%,78%,49.26732,-123.06827,3,3,7,6,$399.00,97,42
100%,98%,49.26618,-123.09694,2,2,2,4,$150.00,96,129
100%,33%,49.28164,-123.11006,1,1,30,2,$79.00,85,14
93%,36%,49.29014,-123.12716,1,1,90,2,$98.00,96,5
100%,79%,49.24882,-123.09121,1,0,3,2,$64.00,94,255
93%,36%,49.29101,-123.14085,NA,1,30,2,$56.00,88,8
100%,75%,49.27383,-123.15362,2,3,5,5,$450.00,98,73
N/A,80%,49.25936,-123.06131,NA,2,2,4,$155.00,98,136
100%,93%,49.25259,-123.09292,2,2,1,4,$88.00,93,239
100%,72%,49.27643,-123.12181,NA,2,30,2,$72.00,86,123
100%,92%,49.25225,-123.10756,1,1,30,2,$75.00,96,131
100%,100%,49.28167,-123.10984,2,2,90,3,$250.00,100,4
N/A,N/A,49.253,-123.0657,1,1,3,4,$125.00,97,61
100%,33%,49.26548,-123.14579,1,0,30,4,$100.00,NA,0
0%,75%,49.22757,-123.10926,1,1,1,3,$79.00,85,254
100%,75%,49.24778,-123.09867,2,2,2,4,$140.00,98,260
N/A,N/A,49.25349,-123.07603,1,1,3,2,$100.00,98,101
100%,100%,49.25986,-123.17281,NA,1,30,2,$62.00,96,12
100%,95%,49.2585,-123.11479,3,3,2,5,$285.00,98,35
90%,81%,49.27866,-123.08627,1,1,2,2,$125.00,98,242
93%,36%,49.28216,-123.12438,1,1,30,2,$85.00,93,3
100%,70%,49.27915,-123.10642,NA,1,30,2,$59.00,94,31
N/A,N/A,49.26861,-123.06666,1,1,31,2,$97.00,93,11
100%,100%,49.25646,-123.14563,1,1,30,2,$70.00,NA,1
100%,100%,49.27774,-123.06582,1,2,2,2,$95.00,95,207
90%,100%,49.28954,-123.13711,2,2,30,4,$187.00,97,50
100%,83%,49.27022,-123.06067,3,3,30,4,$116.00,97,7
100%,89%,49.28474,-123.10712,1,0,180,2,$139.00,95,100
N/A,N/A,49.27336,-123.12771,1,1,30,3,$125.00,100,1
100%,100%,49.22651,-123.14179,1,2,2,4,$129.00,95,106
100%,100%,49.26278,-123.16448,2,4,2,4,$110.00,92,258
100%,100%,49.26263,-123.11627,1,1,120,2,$120.00,100,3
50%,0%,49.28519,-123.09872,1,1,30,2,$160.00,97,53
100%,N/A,49.26057,-123.15881,4,4,5,8,$575.00,98,27
100%,100%,49.26411,-123.06803,3,3,30,6,$189.00,93,49
N/A,100%,49.26715,-123.15325,1,1,2,2,$99.00,93,6
100%,100%,49.2753,-123.14721,2,2,30,4,$175.00,99,240
100%,100%,49.28005,-123.11659,1,2,30,3,$110.00,98,128
N/A,N/A,49.23573,-123.10819,2,2,1,4,$219.00,89,7
88%,96%,49.27393,-123.11599,1,2,30,4,$110.00,90,90
93%,93%,49.24976,-123.03547,1,1,31,1,$75.00,97,40
100%,70%,49.2655,-123.0969,1,1,30,2,$112.00,94,33
93%,93%,49.24958,-123.0359,1,1,31,1,$65.00,96,22
75%,75%,49.26933,-123.16177,1,1,31,2,$58.00,97,7
N/A,N/A,49.25972,-123.14269,2,2,7,4,$175.00,99,14
NA,NA,49.26597,-123.15633,1,1,30,2,$100.00,95,125
100%,100%,49.28514,-123.12275,2,4,30,6,$300.00,97,36
100%,0%,49.2773,-123.12294,2,2,180,3,$115.00,99,142
100%,100%,49.26992,-123.18596,2,3,28,4,$85.00,99,51
100%,N/A,49.27942,-123.12219,1,1,31,1,$42.00,95,62
100%,89%,49.22718,-123.0552,1,1,30,1,$50.00,91,19
N/A,100%,49.23792,-123.18224,4,4,10,8,$525.00,100,18
100%,88%,49.27955,-123.12392,1,2,30,4,$81.00,87,95
100%,N/A,49.24285,-123.18636,2,1,30,4,$204.00,80,1
100%,85%,49.239,-123.08606,2,3,30,5,$90.00,93,124
N/A,N/A,49.28298,-123.12339,NA,1,30,2,$95.00,97,96
100%,95%,49.25701,-123.09179,2,4,2,4,$82.00,98,254
N/A,N/A,49.23748,-123.08735,1,2,30,3,$125.00,99,180
100%,N/A,49.27449,-123.11679,1,3,30,3,$187.00,93,9
100%,100%,49.25877,-123.08299,1,1,30,2,$75.00,99,47
N/A,100%,49.23772,-123.18216,1,1,2,2,$125.00,99,367
100%,50%,49.25865,-123.12294,1,1,30,2,$65.00,95,5
100%,100%,49.25222,-123.1186,1,2,2,2,$112.00,98,533
90%,96%,49.2883,-123.04216,1,1,1,2,$45.00,91,63
N/A,N/A,49.28545,-123.06435,1,1,6,3,$113.00,97,22
100%,100%,49.28044,-123.12496,1,1,1,4,$151.00,96,205
93%,36%,49.28169,-123.12628,2,2,30,4,$74.00,89,16
100%,63%,49.27512,-123.15131,2,2,30,4,$493.00,99,90
100%,89%,49.22505,-123.05439,1,1,30,1,$50.00,68,6
90%,97%,49.26872,-123.15201,1,1,3,2,$70.00,97,227
100%,100%,49.26536,-123.09943,1,1,3,2,$250.00,99,69
N/A,100%,49.25665,-123.10039,2,2,1,4,$199.00,99,148
100%,N/A,49.27293,-123.12547000000001,2,3,90,4,$132.00,99,3
90%,95%,49.282470000000004,-123.10342,NA,0,2,2,$161.00,99,297
86%,85%,49.23857,-123.18641,4,5,7,8,$500.00,95,8
100%,N/A,49.28945,-123.12665,2,1,30,2,$150.00,NA,0
100%,97%,49.25819,-123.19988,1,1,3,2,$129.00,98,178
88%,96%,49.27795,-123.11734,1,1,30,2,$104.00,93,94
90%,78%,49.29314,-123.13535,1,1,2,1,$61.00,95,342
N/A,N/A,49.28016,-123.10695,NA,1,3,2,$140.00,94,102
N/A,N/A,49.26338,-123.18966,2,2,7,3,$225.00,97,6
93%,36%,49.28884,-123.13288,2,3,30,4,$72.00,100,3
93%,36%,49.28748,-123.1289,1,1,30,2,$88.00,100,4
93%,36%,49.28814,-123.12629,1,1,30,2,$88.00,100,2
100%,100%,49.26229,-123.20888,2,0,6,4,$150.00,96,84
93%,36%,49.2796,-123.12152,1,1,32,2,$108.00,NA,0
N/A,N/A,49.26682,-123.15312,2,2,4,3,$119.00,100,1
N/A,50%,49.2669,-123.18107,3,3,2,5,$425.00,100,13
100%,N/A,49.27622,-123.12585,1,0,30,2,$110.00,100,1
93%,87%,49.28363,-123.11777,1,1,90,4,$97.00,90,12
93%,36%,49.27511,-123.12679,1,1,31,2,$98.00,100,5
90%,93%,49.26731,-123.09774,1,1,3,2,$149.00,96,78
100%,33%,49.24187,-123.03668,1,1,30,2,$40.00,93,38
96%,84%,49.2785,-123.05217,1,1,2,2,$75.00,96,139
N/A,N/A,49.26802,-123.07374,3,3,2,6,$146.00,NA,0
80%,14%,49.2839,-123.10111,2,2,3,4,$289.00,94,28
100%,80%,49.27914,-123.12016,2,2,30,4,$300.00,99,19
100%,33%,49.24348,-123.03844,1,1,7,2,$35.00,92,45
100%,50%,49.22975,-123.09291,NA,0,2,2,$86.00,95,31
100%,100%,49.2498,-123.10378,1,1,30,2,$100.00,97,42
93%,36%,49.28875,-123.12417,1,1,30,2,$79.00,100,3
93%,36%,49.27865,-123.13613,1,1,30,2,$65.00,93,9
93%,36%,49.28886,-123.12616,1,1,32,2,$109.00,NA,0
N/A,100%,49.27359,-123.10051,2,2,30,4,$150.00,96,5
93%,36%,49.27515,-123.11625,1,1,30,2,$83.00,90,4
N/A,N/A,49.2782,-123.10575,1,1,2,2,$142.00,98,106
93%,36%,49.28488,-123.11244,1,1,30,2,$83.00,93,10
93%,36%,49.28719,-123.12856,NA,0,30,1,$63.00,100,2
NA,NA,49.27197,-123.17999,3,4,7,5,$457.00,88,5
93%,36%,49.29225,-123.14202,1,1,365,2,$80.00,NA,0
93%,36%,49.29004,-123.12665,NA,1,30,2,$74.00,100,1
99%,85%,49.27899,-123.12156,2,3,30,6,$499.00,80,2
99%,85%,49.27861,-123.12323,NA,1,30,2,$199.00,95,4
N/A,N/A,49.27963,-123.10874,2,6,2,4,$220.00,97,113
100%,0%,49.28488,-123.02993,NA,1,4,2,$73.00,96,84
N/A,N/A,49.28455,-123.14071,1,1,3,2,$195.00,100,77
100%,100%,49.26488,-123.15529,2,2,2,4,$222.00,90,76
N/A,N/A,49.23656,-123.02782,1,1,30,2,$94.00,NA,0
N/A,N/A,49.26215,-123.1803,4,5,5,6,$560.00,100,5
N/A,N/A,49.27402,-123.054,3,4,3,5,$225.00,100,7
93%,87%,49.27642,-123.12746,2,2,90,5,$115.00,100,4
100%,100%,49.28374,-123.12267,1,0,30,2,$95.00,93,92
100%,N/A,49.27523,-123.1524,2,2,7,3,$188.00,90,10
100%,N/A,49.23322,-123.02764,1,1,4,2,$50.00,100,4
N/A,89%,49.28365,-123.10431,1,1,3,2,$142.00,96,109
70%,100%,49.26867,-123.16656,3,3,1,6,$299.00,96,35
89%,100%,49.24559,-123.04974,1,1,30,2,$40.00,89,22
73%,25%,49.26665,-123.06936,2,2,1,5,$199.00,92,62
100%,100%,49.26469,-123.14817,1,0,2,4,$149.00,91,53
100%,100%,49.25782,-123.20131,1,1,2,3,$102.00,94,62
100%,100%,49.27928,-123.07949,NA,0,2,2,$80.00,97,319
100%,N/A,49.27656,-123.11813,2,2,30,4,$466.00,88,12
100%,99%,49.27198,-123.0681,1,1,1,2,$90.00,98,506
89%,100%,49.24389,-123.0485,1,2,30,3,$61.00,82,18
0%,0%,49.27188,-123.15207,1,1,32,1,$275.00,NA,0
93%,36%,49.28709,-123.12764,3,4,32,5,$119.00,100,4
100%,100%,49.27166,-123.06616,1,2,3,4,$110.00,94,224
N/A,N/A,49.27412,-123.07405,1,1,3,2,$117.00,99,97
0%,0%,49.27252,-123.15201,1,1,30,1,$100.00,91,28
100%,46%,49.26013,-123.1891,2,4,2,6,$200.00,93,148
N/A,N/A,49.26268,-123.14881,1,2,7,2,$180.00,88,32
100%,100%,49.2493,-123.10796,3,4,3,6,$131.00,95,72
N/A,0%,49.25725,-123.08369,3,4,4,9,$199.00,97,63
93%,36%,49.28873,-123.12582,1,1,31,2,$71.00,100,1
N/A,50%,49.2357,-123.10428,1,1,2,2,$75.00,98,662
100%,91%,49.26037,-123.10503,1,1,3,1,$75.00,99,334
N/A,N/A,49.25926,-123.18271,2,3,30,4,$175.00,92,13
N/A,0%,49.2649,-123.16641,2,2,30,5,$300.00,NA,0
100%,75%,49.28254,-123.1064,1,1,30,2,$116.00,98,22
100%,100%,49.26554,-123.14631,3,0,2,6,$202.00,96,41
N/A,N/A,49.28169,-123.11802,1,2,30,2,$98.00,98,214
100%,100%,49.27607,-123.03497,1,1,30,2,$40.00,89,17
93%,36%,49.29236,-123.13936,NA,1,30,2,$59.00,94,7
N/A,N/A,49.26562,-123.16259,1,1,30,2,$199.00,100,5
100%,78%,49.26645,-123.06893,NA,1,4,2,$109.00,98,264
100%,83%,49.25972,-123.08497,1,2,30,4,$90.00,98,101
100%,88%,49.25886,-123.10898,2,3,2,4,$208.00,99,160
100%,88%,49.25869,-123.10753,1,1,2,2,$199.00,100,36
100%,N/A,49.27399,-123.12399,NA,1,30,2,$100.00,93,98
90%,100%,49.27288,-123.06959,1,1,5,5,$115.00,95,80
100%,21%,49.28063,-123.12652,2,2,1,4,$411.00,NA,0
93%,87%,49.27949,-123.10711,2,2,30,5,$148.00,89,16
100%,100%,49.27585,-123.06803,1,0,3,2,$137.00,98,76
100%,N/A,49.22826,-123.03193,1,1,30,2,$85.00,91,23
100%,89%,49.26513,-123.16761,1,1,3,2,$63.00,97,150
N/A,N/A,49.24598,-123.09127,1,2,14,2,$180.00,95,13
100%,95%,49.28109,-123.10671,1,2,30,3,$168.00,98,257
94%,74%,49.28226,-123.12317,NA,1,30,2,$115.00,NA,0
100%,100%,49.27707,-123.11507,NA,2,182,2,$200.00,99,21
100%,63%,49.2669,-123.16656,2,2,3,4,$140.00,97,341
100%,97%,49.27334,-123.12764,1,1,2,2,$69.00,99,130
N/A,N/A,49.25595,-123.07807,4,3,5,5,$156.00,97,38
100%,99%,49.23695,-123.03251,1,1,4,2,$43.00,96,237
N/A,N/A,49.26184,-123.14763,3,4,5,8,$495.00,100,13
100%,100%,49.27351,-123.15035,1,1,2,2,$160.00,98,18
93%,87%,49.27294,-123.12493,2,3,30,5,$108.00,94,9
100%,75%,49.27315,-123.16093,4,4,4,8,$500.00,99,32
N/A,N/A,49.2504,-123.02515,1,1,2,3,$69.00,81,48
67%,0%,49.26595,-123.12975,1,2,30,1,$50.00,94,30
100%,89%,49.26137,-123.16982,2,2,30,4,$140.00,97,101
100%,67%,49.27674,-123.13275,3,3,1,6,$300.00,94,203
100%,60%,49.28318,-123.11256,1,1,90,1,$39.00,93,37
100%,50%,49.25797,-123.10577,1,1,7,2,$95.00,98,196
100%,N/A,49.27688,-123.11947,2,0,90,4,$180.00,NA,0
N/A,100%,49.28532,-123.13434,1,2,2,5,$156.00,97,116
100%,100%,49.26424,-123.20055,2,4,1,6,$156.00,95,170
100%,100%,49.27186,-123.10121,1,1,30,2,$135.00,98,72
93%,87%,49.27762,-123.08519,3,3,30,6,$108.00,80,4
N/A,100%,49.26041,-123.09035,1,1,2,2,$49.00,95,174
100%,33%,49.2346,-123.02652,1,1,35,2,$100.00,100,14
100%,75%,49.28901,-123.12785,1,1,90,2,$85.00,97,14
100%,N/A,49.28046,-123.10232,2,2,30,4,$330.00,99,89
100%,92%,49.25107,-123.1025,NA,0,3,2,$100.00,93,119
100%,20%,49.26329,-123.18427,3,3,31,8,$250.00,98,83
100%,71%,49.27141,-123.1008,2,2,30,4,$187.00,95,4
93%,93%,49.24808,-123.03588,1,1,31,1,$65.00,96,5
93%,93%,49.24869,-123.03572,1,1,31,1,$65.00,90,2
93%,93%,49.24961,-123.03755,2,2,31,2,$130.00,88,8
100%,20%,49.26149,-123.18459,2,3,31,6,$275.00,99,30
100%,100%,49.27741,-123.12018,1,1,60,2,$70.00,99,105
N/A,100%,49.27444,-123.13221,2,2,4,4,$275.00,99,95
100%,100%,49.25244,-123.0623,1,1,30,2,$80.00,98,144
100%,100%,49.27147,-123.12661,2,2,30,4,$325.00,100,16
N/A,90%,49.27813,-123.09127,1,1,3,2,$80.00,97,240
100%,97%,49.26147,-123.08229,1,1,3,2,$75.00,99,348
100%,100%,49.27315,-123.06846,3,4,3,6,$425.00,97,19
100%,20%,49.26616,-123.12985,1,1,3,2,$80.00,99,92
N/A,100%,49.25192,-123.17032,5,4,7,8,$700.00,96,22
100%,83%,49.27823,-123.12071,1,1,6,2,$100.00,93,52
100%,60%,49.24531,-123.09533,1,1,29,2,$70.00,98,26
86%,50%,49.25965,-123.20512,2,3,4,6,$282.00,98,105
100%,96%,49.27993,-123.1263,1,2,30,2,$115.00,99,96
N/A,N/A,49.28165,-123.12841,1,1,2,2,"$2,000.00",99,73
100%,100%,49.27508,-123.12388,1,1,90,2,$135.00,98,12
100%,86%,49.28045,-123.12457,1,1,30,2,$155.00,96,18
100%,86%,49.28337,-123.11659,1,0,30,2,$225.00,96,9
100%,80%,49.27763,-123.12007,1,1,30,2,$130.00,100,8
N/A,N/A,49.2644,-123.09873,1,1,2,2,$80.00,98,92
100%,50%,49.25872,-123.12185,1,1,30,2,$75.00,90,6
100%,97%,49.28045,-123.10871,2,2,5,3,$100.00,89,193
80%,64%,49.232,-123.07403,1,1,5,2,$79.00,95,128
100%,100%,49.26688,-123.15873,1,2,2,3,$113.00,96,174
N/A,N/A,49.28287,-123.09425,1,2,2,2,$80.00,93,50
100%,97%,49.27841,-123.10815,2,2,30,3,$95.00,70,2
100%,85%,49.2827,-123.1241,2,2,30,3,$117.00,98,65
100%,75%,49.27638,-123.12394,NA,1,30,2,$100.00,98,155
90%,40%,49.28035,-123.12343,1,1,30,2,$85.00,98,16
100%,100%,49.25853,-123.08005,3,3,10,4,$130.00,92,10
100%,100%,49.24731,-123.08777,1,1,1,2,$99.00,98,621
100%,100%,49.24243,-123.04059,3,3,2,6,$169.00,94,220
95%,99%,49.27105,-123.18246,2,2,30,4,$120.00,95,79
100%,0%,49.2804,-123.10571,1,1,60,2,$279.00,90,2
N/A,N/A,49.24429,-123.0884,2,2,30,4,$180.00,100,22
100%,60%,49.28506,-123.11247,1,1,90,1,$42.00,83,12
100%,88%,49.27832,-123.12109,NA,1,30,2,$109.00,100,23
100%,89%,49.27549,-123.06406,2,0,2,4,$185.00,99,189
100%,91%,49.26914,-123.05684,1,1,1,2,$149.00,96,296
100%,100%,49.28722,-123.12588,1,1,360,2,$139.00,99,28
100%,N/A,49.27016,-123.17693,3,3,5,5,$600.00,99,19
90%,100%,49.27152,-123.06947,1,2,30,4,$125.00,96,72
N/A,N/A,49.27851,-123.09941,1,2,4,3,$125.00,97,39
N/A,N/A,49.28512,-123.05801,NA,1,85,2,$60.00,100,1
93%,36%,49.28084,-123.12598,1,1,30,2,$89.00,100,6
N/A,100%,49.28698,-123.13246,1,2,30,7,$149.00,96,60
100%,88%,49.27453,-123.12461,2,2,30,4,$424.00,98,12
100%,100%,49.24554,-123.05089,NA,1,2,2,$75.00,98,207
N/A,N/A,49.26698,-123.16059,NA,0,30,2,$95.00,100,9
100%,100%,49.24347,-123.17806,1,1,30,1,$70.00,98,187
100%,63%,49.28669,-123.06221,1,2,5,4,$100.00,94,396
NA,NA,49.26867,-123.10487,1,2,90,4,$110.00,94,22
100%,0%,49.28941,-123.12908,1,1,30,2,$126.00,98,21
100%,100%,49.27675,-123.06537,2,2,2,5,$135.00,99,283
100%,98%,49.24036,-123.18393,3,4,30,8,$250.00,100,85
N/A,N/A,49.28221,-123.13633,NA,1,30,2,$135.00,98,47
N/A,N/A,49.27818,-123.13048,1,1,270,2,$250.00,NA,0
N/A,N/A,49.27572,-123.06039,3,3,2,8,$263.00,94,20
75%,0%,49.26442,-123.19224,4,4,3,8,$550.00,100,33
N/A,0%,49.27674,-123.05264,1,1,5,2,$115.00,95,71
100%,60%,49.24506,-123.09533,3,4,30,8,$529.00,99,26
N/A,N/A,49.26774,-123.1611,1,1,30,2,$249.00,100,9
0%,N/A,49.26649,-123.12179,2,3,30,6,$188.00,92,6
N/A,100%,49.26706,-123.13581,1,1,30,3,$95.00,100,4
100%,88%,49.24748,-123.10906,2,2,3,4,$161.00,95,13
100%,100%,49.27702,-123.03282,1,1,30,1,$30.00,91,18
100%,65%,49.26407,-123.03992,1,1,10,2,$40.00,94,53
N/A,N/A,49.27809,-123.12919,2,2,60,3,$196.00,93,14
